frame_id,track_id,bbox_x1,bbox_y1,bbox_x2,bbox_y2,posture,action
68,1,498,405,881,559,standing,normal
68,2,934,290,1167,429,prone lying,normal
68,3,935,392,1145,562,side lying,normal
68,4,904,507,1111,627,side lying,normal
68,5,1000,169,1184,253,standing,diet
68,6,742,519,1000,661,side lying,normal
68,7,615,17,945,199,side lying,normal
68,8,1114,310,1199,543,prone lying,normal
69,1,497,404,881,559,standing,normal
69,2,934,290,1167,429,prone lying,normal
69,3,935,392,1145,562,side lying,normal
69,4,904,507,1111,627,side lying,normal
69,5,1000,169,1184,253,standing,diet
69,6,742,519,1000,661,side lying,normal
69,7,615,17,945,199,side lying,normal
69,8,1114,310,1199,543,prone lying,normal
70,1,497,403,881,558,standing,normal
70,2,933,290,1168,429,prone lying,normal
70,3,935,393,1145,562,side lying,normal
70,4,904,507,1111,627,side lying,normal
70,5,1000,169,1184,253,standing,diet
70,6,742,519,1000,661,side lying,normal
70,7,615,17,945,199,side lying,normal
70,8,1114,310,1199,543,prone lying,normal
71,1,496,401,882,557,standing,normal
71,2,933,290,1168,430,prone lying,normal
71,3,935,393,1145,562,side lying,normal
71,4,904,507,1111,627,side lying,normal
71,5,1000,170,1183,253,standing,diet
71,6,741,519,1000,661,side lying,normal
71,7,615,17,945,199,side lying,normal
71,8,1114,310,1199,543,prone lying,normal
72,1,496,398,881,555,standing,normal
72,2,934,290,1167,430,prone lying,normal
72,3,935,393,1145,562,side lying,normal
72,4,904,507,1111,626,side lying,normal
72,5,1001,170,1183,253,standing,diet
72,6,741,519,1000,661,side lying,normal
72,7,615,17,945,199,side lying,normal
72,8,1114,310,1199,543,prone lying,normal
73,1,496,396,880,553,standing,normal
73,2,934,290,1167,430,prone lying,normal
73,3,935,393,1145,562,side lying,normal
73,4,904,507,1111,627,side lying,normal
73,5,1001,170,1182,253,standing,diet
73,6,740,518,1001,661,side lying,normal
73,7,615,17,945,199,side lying,normal
73,8,1114,310,1199,543,prone lying,normal
74,1,496,393,881,551,standing,normal
74,2,934,290,1167,430,prone lying,normal
74,3,935,394,1145,562,side lying,normal
74,4,904,507,1111,627,side lying,normal
74,5,1001,171,1182,253,standing,diet
74,6,740,518,1001,661,side lying,normal
74,7,615,17,945,199,side lying,normal
74,8,1114,310,1199,543,prone lying,normal
75,1,493,390,883,551,standing,normal
75,2,934,291,1167,430,prone lying,normal
75,3,935,394,1145,562,side lying,normal
75,4,904,507,1111,627,side lying,normal
75,5,1000,170,1183,253,standing,diet
75,6,740,517,1002,661,side lying,normal
75,7,615,17,945,199,side lying,normal
75,8,1114,310,1199,543,prone lying,normal
76,1,492,387,884,550,standing,normal
76,2,935,291,1167,430,prone lying,normal
76,3,935,394,1145,562,side lying,normal
76,4,904,507,1111,627,side lying,normal
76,5,1000,170,1183,253,standing,diet
76,6,740,517,1002,661,side lying,normal
76,7,615,17,945,199,side lying,normal
76,8,1114,310,1199,543,prone lying,normal
77,1,492,386,883,549,standing,normal
77,2,935,291,1167,430,prone lying,normal
77,3,935,394,1145,562,side lying,normal
77,4,904,507,1111,627,side lying,normal
77,5,1001,170,1183,253,standing,diet
77,6,739,516,1003,661,side lying,normal
77,7,615,17,945,199,side lying,normal
77,8,1114,310,1199,543,prone lying,normal
78,1,492,384,882,547,standing,normal
78,2,935,291,1167,430,prone lying,normal
78,3,935,394,1145,562,side lying,normal
78,4,904,506,1111,627,side lying,normal
78,5,1000,170,1183,253,standing,diet
78,6,739,515,1003,661,side lying,normal
78,7,615,17,945,199,side lying,normal
78,8,1114,310,1199,543,prone lying,normal
79,1,492,383,880,545,standing,normal
79,2,935,291,1167,430,prone lying,normal
79,3,935,394,1145,562,side lying,normal
79,4,904,506,1111,627,side lying,normal
79,5,1000,170,1183,253,standing,diet
79,6,738,514,1004,661,side lying,normal
79,7,615,17,945,199,side lying,normal
79,8,1114,310,1199,543,prone lying,normal
80,1,492,381,878,544,standing,normal
80,2,935,291,1167,430,prone lying,normal
80,3,935,394,1145,562,side lying,normal
80,4,904,506,1111,627,side lying,normal
80,5,1000,170,1184,253,standing,diet
80,6,737,513,1005,661,side lying,normal
80,7,615,17,945,199,side lying,normal
80,8,1114,310,1199,543,prone lying,normal
81,1,490,380,878,543,standing,normal
81,2,935,291,1167,430,prone lying,normal
81,3,935,394,1145,562,side lying,normal
81,4,904,506,1111,627,side lying,normal
81,5,1001,170,1184,253,standing,diet
81,6,737,512,1005,661,side lying,normal
81,7,615,17,945,199,side lying,normal
81,8,1114,310,1199,543,prone lying,normal
82,1,490,378,877,542,standing,normal
82,2,935,291,1167,430,prone lying,normal
82,3,935,394,1145,562,side lying,normal
82,4,904,506,1111,627,side lying,normal
82,5,1001,170,1184,253,standing,diet
82,6,738,512,1004,661,side lying,normal
82,7,615,17,945,199,side lying,normal
82,8,1114,310,1199,543,prone lying,normal
83,1,489,378,875,541,standing,normal
83,2,935,291,1167,430,prone lying,normal
83,3,935,394,1145,562,side lying,normal
83,4,904,506,1111,627,side lying,normal
83,5,1001,169,1184,253,standing,diet
83,6,737,512,1005,661,side lying,normal
83,7,615,17,945,199,side lying,normal
83,8,1114,310,1199,543,prone lying,normal
84,1,489,378,874,540,standing,normal
84,2,935,291,1167,430,prone lying,normal
84,3,935,394,1145,562,side lying,normal
84,4,904,506,1111,627,side lying,normal
84,5,1001,169,1184,253,standing,diet
84,6,738,512,1004,661,side lying,normal
84,7,615,17,945,199,side lying,normal
84,8,1114,310,1199,543,prone lying,normal
85,1,490,378,872,539,standing,normal
85,2,935,291,1167,430,prone lying,normal
85,3,935,394,1145,562,side lying,normal
85,4,904,506,1111,627,side lying,normal
85,5,1001,169,1184,253,standing,diet
85,6,738,512,1004,661,side lying,normal
85,7,615,17,945,199,side lying,normal
85,8,1114,310,1199,543,prone lying,normal
86,1,490,378,870,539,standing,normal
86,2,935,291,1167,430,prone lying,normal
86,3,935,394,1145,562,side lying,normal
86,4,904,506,1111,627,side lying,normal
86,5,1001,169,1184,253,standing,diet
86,6,738,511,1004,661,side lying,normal
86,7,615,17,945,199,side lying,normal
86,8,1114,310,1199,543,prone lying,normal
87,1,491,378,869,538,standing,normal
87,2,935,291,1167,430,prone lying,normal
87,3,935,394,1145,562,side lying,normal
87,4,904,506,1111,627,side lying,normal
87,5,1001,169,1184,253,standing,diet
87,6,738,511,1004,661,side lying,normal
87,7,615,17,945,199,side lying,normal
87,8,1114,310,1199,543,prone lying,normal
88,1,492,378,868,537,standing,normal
88,2,935,291,1167,430,prone lying,normal
88,3,935,394,1145,562,side lying,normal
88,4,904,506,1111,627,side lying,normal
88,5,1001,169,1184,253,standing,diet
